                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.24229,                0.19543,                0.89831,                0.99752,                      1,                  0.995,                  0.995,                0.14656,                 0.1778,                0.59418,              0.0016357,              0.0016357,              0.0016357
                     94,                 0.2369,                0.19345,                 0.9057,                0.99743,                      1,                  0.995,                  0.995,                0.17901,                0.21091,                0.60583,              0.0016317,              0.0016317,              0.0016317
                     95,                0.25917,                0.20707,                0.90926,                0.99567,                      1,                  0.995,                  0.995,                0.14277,                0.54084,                0.58023,              0.0016278,              0.0016278,              0.0016278
                     96,                0.25943,                0.20655,                0.90771,                0.99477,                      1,                  0.995,                0.98477,                0.21286,                0.41437,                 0.6352,              0.0016238,              0.0016238,              0.0016238
                     97,                0.23342,                0.18751,                0.90728,                0.99741,                      1,                  0.995,                  0.995,                0.14639,                0.14615,                0.57886,              0.0016198,              0.0016198,              0.0016198
                     98,                0.24372,                0.19823,                0.89263,                0.99741,                      1,                  0.995,                  0.995,                0.19761,                 0.1628,                0.62142,              0.0016159,              0.0016159,              0.0016159
                     99,                0.24943,                0.20498,                0.89846,                0.99751,                      1,                  0.995,                  0.995,                0.30227,                0.22543,                0.73564,              0.0016119,              0.0016119,              0.0016119
                    100,                0.24004,                0.18824,                0.90267,                0.99675,                      1,                  0.995,                  0.995,                0.25024,                 0.5193,                0.67189,               0.001608,               0.001608,               0.001608
                    101,                0.23532,                0.19128,                0.90143,                0.99713,                      1,                  0.995,                  0.995,                0.18825,                0.34408,                0.62926,               0.001604,               0.001604,               0.001604
                    102,                0.23662,                0.18813,                0.89277,                0.99728,                      1,                  0.995,                  0.995,                 0.1361,                0.17279,                0.58622,                 0.0016,                 0.0016,                 0.0016
                    103,                0.24861,                0.19848,                0.90146,                0.99751,                      1,                  0.995,                  0.995,                0.11125,                0.16955,                 0.5754,              0.0015961,              0.0015961,              0.0015961
                    104,                0.24492,                0.19863,                0.89452,                0.99745,                      1,                  0.995,                  0.995,                0.14939,                0.15729,                0.59643,              0.0015921,              0.0015921,              0.0015921
                    105,                0.25108,                0.20109,                0.90085,                0.99677,                      1,                  0.995,                  0.995,                0.14435,                0.23085,                0.60097,              0.0015882,              0.0015882,              0.0015882
                    106,                0.23232,                0.19364,                0.90291,                0.99629,                      1,                  0.995,                  0.995,                0.13745,                 0.2913,                0.58679,              0.0015842,              0.0015842,              0.0015842
                    107,                0.25084,                0.20025,                0.90092,                0.99465,                      1,                  0.995,                  0.995,                0.16938,                0.68083,                 0.6122,              0.0015802,              0.0015802,              0.0015802
                    108,                0.23294,                 0.1949,                 0.9031,                0.99474,                      1,                  0.995,                  0.995,                0.19421,                 0.6987,                0.64737,              0.0015763,              0.0015763,              0.0015763
                    109,                0.26099,                0.20051,                0.90288,                0.99746,                      1,                  0.995,                  0.995,                 0.1792,                0.22136,                0.62751,              0.0015723,              0.0015723,              0.0015723
                    110,                0.25363,                0.20274,                0.89878,                0.99605,                      1,                  0.995,                  0.995,                0.20867,                0.36522,                0.64212,              0.0015684,              0.0015684,              0.0015684
                    111,                0.23626,                0.19272,                0.90468,                0.99599,                      1,                  0.995,                  0.995,                0.16143,                0.58571,                0.60768,              0.0015644,              0.0015644,              0.0015644
                    112,                0.25376,                0.20153,                 0.9027,                0.98609,                      1,                  0.995,                  0.995,                0.16325,                0.26999,                0.61079,              0.0015604,              0.0015604,              0.0015604
                    113,                0.26189,                0.20623,                0.90893,                0.99668,                      1,                  0.995,                  0.995,                 0.1779,                0.38785,                0.62979,              0.0015565,              0.0015565,              0.0015565
                    114,                0.23386,                0.18685,                0.90877,                0.99581,                      1,                  0.995,                  0.995,                0.14831,                0.24673,                0.59368,              0.0015525,              0.0015525,              0.0015525
                    115,                0.25833,                0.19568,                0.89896,                 0.9951,                      1,                  0.995,                  0.995,                0.14302,                 0.2326,                0.60383,              0.0015486,              0.0015486,              0.0015486
                    116,                0.23494,                0.18346,                0.89262,                0.99684,                      1,                  0.995,                  0.995,                0.13288,                0.21557,                0.59692,              0.0015446,              0.0015446,              0.0015446
                    117,                0.25435,                0.20005,                0.90016,                0.99749,                      1,                  0.995,                  0.995,                0.15325,                0.12911,                0.60282,              0.0015406,              0.0015406,              0.0015406
                    118,                0.24687,                 0.1922,                0.90684,                0.99673,                      1,                  0.995,                  0.995,                  0.147,                0.25618,                0.59391,              0.0015367,              0.0015367,              0.0015367
                    119,                0.24305,                 0.1925,                0.90012,                0.99694,                      1,                  0.995,                  0.995,                0.13227,                  0.294,                0.59927,              0.0015327,              0.0015327,              0.0015327
                    120,                0.23911,                0.18746,                0.90709,                0.99574,                      1,                  0.995,                  0.995,                0.16554,                0.76293,                0.61757,              0.0015288,              0.0015288,              0.0015288
                    121,                0.24457,                0.18898,                0.90144,                0.99728,                      1,                  0.995,                  0.995,                0.20505,                0.24453,                0.64801,              0.0015248,              0.0015248,              0.0015248
                    122,                0.24123,                0.18702,                0.89665,                0.99728,                      1,                  0.995,                  0.995,                0.19491,                0.30053,                0.64071,              0.0015208,              0.0015208,              0.0015208
                    123,                0.22749,                 0.1821,                0.89504,                 0.9974,                      1,                  0.995,                  0.995,                 0.2152,                0.20788,                0.67613,              0.0015169,              0.0015169,              0.0015169
                    124,                0.22818,                0.17723,                0.89089,                0.99746,                      1,                  0.995,                  0.995,                0.12765,                0.11519,                0.57988,              0.0015129,              0.0015129,              0.0015129
                    125,                0.23708,                0.18681,                0.89897,                0.99753,                      1,                  0.995,                  0.995,                0.15081,                0.16195,                 0.5953,               0.001509,               0.001509,               0.001509
                    126,                  0.232,                0.18929,                0.89962,                 0.9974,                      1,                  0.995,                  0.995,                 0.1287,                 0.1293,                0.57497,               0.001505,               0.001505,               0.001505
                    127,                0.22283,                0.17936,                0.89253,                0.99723,                      1,                  0.995,                  0.995,                0.09923,                0.10335,                 0.5677,               0.001501,               0.001501,               0.001501
                    128,                0.22809,                0.18262,                0.89754,                 0.9975,                      1,                  0.995,                  0.995,                 0.1682,                0.18804,                0.59885,              0.0014971,              0.0014971,              0.0014971
                    129,                0.23257,                0.17613,                0.89762,                 0.9972,                      1,                  0.995,                0.99106,                0.17447,                0.29827,                 0.6039,              0.0014931,              0.0014931,              0.0014931
